i,time_nano,top_1_precision_training,top_3_precision_training,top_5_precision_training,top_7_precision_training,top_1_precision_test,top_3_precision_test,top_5_precision_test,top_7_precision_test
0,4799592,0.3265,0.536,0.5995,0.6375,0.3315,0.535,0.5985,0.637
1,3684306,0.3235,0.5165,0.584,0.6325,0.2865,0.494,0.577,0.6105
2,3045705,0.3215,0.528,0.5945,0.6265,0.2935,0.4935,0.5585,0.5905
3,5081670,0.3415,0.5535,0.6185,0.6525,0.289,0.4695,0.5325,0.5795
4,2361240,0.3065,0.512,0.5935,0.63,0.307,0.507,0.5755,0.606
5,4452669,0.3305,0.5415,0.611,0.644,0.313,0.5105,0.5875,0.622
6,2566487,0.325,0.5185,0.5895,0.632,0.3185,0.507,0.58,0.613
7,7642165,0.313,0.499,0.579,0.6275,0.298,0.495,0.5795,0.632
8,3875417,0.3315,0.5375,0.61,0.642,0.3065,0.508,0.5725,0.6015
9,3064400,0.3295,0.5095,0.5935,0.627,0.3175,0.493,0.563,0.604
10,4187151,0.316,0.5035,0.578,0.627,0.3075,0.481,0.562,0.603
11,3881778,0.321,0.5285,0.6055,0.636,0.301,0.4825,0.567,0.61
12,3049551,0.3295,0.533,0.6025,0.643,0.3025,0.5045,0.5655,0.608
13,4566870,0.3235,0.542,0.6095,0.65,0.3005,0.498,0.5625,0.5995
14,2616245,0.334,0.5285,0.5995,0.629,0.31,0.4905,0.5665,0.5925
